,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,1.0190747,-0.3212604,-0.4706152,0.45300296,-0.12209535,-0.743113,-0.76369333,-0.60797465,-0.03488469,-0.022725582,-0.5414096,-0.5770817,0.16290845,0.082849346,-0.36252034,0.40650576,0.050056327,-0.43485326,-0.2691294,0.11288798,0.30458522,-0.5761868,0.1717066,-0.2767743,-0.71342534,0.49621767,0.8718678,-0.39174098,-0.8065314,-0.3494454,1.1551508,-0.5553496,-0.30703503,0.95017564,0.17062981,0.94198424,-0.32302958,-0.2331273,-0.5345082,0.7781014,-0.32136053,-0.29719687,-0.6203654,0.9773773,-0.34391809,0.69226587,-0.4468999,-0.42396832,1.1404021,-0.35690635,-0.50851464,-0.51509285,-0.6059797,-0.21934718,0.21044081,0.33545512,-0.355062,-0.3119647,0.09311108,1.2170078,1.44639,0.8601513,0.18841127,0.025050016
1,0.049416963,0.18239243,-0.6802895,-0.038998306,0.24793018,0.61444944,0.5756946,0.38021034,0.7715103,-0.20766151,0.55823445,-0.44972575,-0.3330602,-0.20479172,1.6058227,-0.19770569,0.13209221,-0.5229955,0.53155667,-0.6884526,-0.6559411,0.23534721,1.5919452,0.33040032,0.9642398,-0.4159807,-0.71460974,0.37857497,-0.4536367,-0.45558316,0.1983604,-0.11187577,0.1167768,-0.51710075,-0.6435566,-0.35104495,0.44170278,-0.12610078,0.5130868,1.0377121,0.062365733,0.7911387,0.32208103,0.09107157,0.2735726,-0.49709642,0.8363079,-0.49781227,-0.36158562,-0.350035,1.4211297,1.6980205,1.713078,-0.4498785,-0.33388036,-0.26654774,-0.44733995,0.88412666,0.24977045,0.7837547,0.49854204,-0.5869888,0.3670153,-0.7792877
2,-0.79911137,1.979643,-0.2965417,-0.21998703,2.448198,2.0225008,-0.588761,-0.94250524,-0.8526674,-0.61992925,3.1991794,-0.8503697,-0.8489751,-0.541335,-0.5007437,-0.45212966,0.57755685,-0.2652564,-0.8425896,0.75951296,2.547635,-0.17564595,-0.14576972,1.4199269,1.6718688,-0.82378304,0.22610362,0.13756177,3.1309707,2.101361,1.0140119,-0.510329,1.9811225,-0.6658913,1.4213727,-0.9489221,2.2484107,-0.004853964,0.73303056,-0.7243928,-0.061586082,1.3585056,-0.5903951,-0.9228685,-0.8564781,-0.19428778,3.1519122,1.4080791,0.8007111,2.3059225,1.7235694,-0.6736268,0.09146175,-0.78722095,2.0961537,-0.84824485,1.7633748,-0.605579,2.6616104,1.1772568,-0.642643,-0.8200953,2.5601473,-0.4308294
3,0.6553529,-0.24743867,-0.42516267,-0.108778894,-0.39433724,-0.5690615,-0.59956515,0.7850132,0.03879231,0.8273447,-0.2611863,-0.09698886,0.86392194,-0.28889954,-0.6754415,1.2105558,-0.44342655,-0.8081301,0.40979436,0.4170105,-0.31762862,0.3349358,-0.13395357,-0.22722721,-0.52805847,0.8184466,-0.4476397,-0.3210072,-0.6377903,-0.45780462,0.6956689,-0.5342966,0.206038,0.6683425,0.033050075,1.2447371,-0.6662266,-0.23995316,-0.603711,1.2182895,-0.49804646,-0.5335759,-0.25578964,0.5246814,-0.069075346,0.5187319,-0.727306,-0.16816312,-0.26043802,-0.35377246,-0.6116287,-0.43165904,-0.61686873,-0.13718015,-0.10496718,0.45459774,-0.7652169,-0.545056,-0.0844304,-0.67221576,0.77674806,0.5448754,-0.12032318,0.59156364
4,-0.77657336,-0.55935556,1.4116774,-0.66659945,0.9822759,0.83416873,-0.5840498,-0.76056707,-0.87807864,-0.8210443,-0.18172443,-0.6505409,-0.8204328,-0.29792726,0.77885807,-0.83156514,-0.521474,-0.47154588,0.27206114,-0.6295142,1.4170388,1.0741202,-0.46080643,0.72375214,0.11744449,1.0955305,-0.27581,1.3168107,2.182211,1.1124012,-0.6255404,-0.8763795,-0.4751833,-0.7915492,2.7982905,-0.7331599,2.0043569,0.21055825,1.6167092,-0.030601919,0.82141453,0.9491937,-0.7011571,-0.8900022,-0.9534043,-0.8909317,2.7019477,1.2831101,0.013874305,3.1798496,1.8807234,0.28236005,0.5747286,0.42094553,0.25458345,-0.89549595,4.651225,1.301807,0.64292973,-0.4178539,-0.8669399,0.023019273,1.3785222,-0.41978496
5,1.2352482,-0.65628743,-0.37318724,0.5937765,-0.49832654,-0.64956754,-0.842868,0.6578311,-0.3013832,0.76961,-0.14874011,-0.522665,0.70444566,-0.25629765,-0.67335856,0.5869378,-0.5460799,0.18670845,0.6978199,-0.5753385,0.07884875,-0.47855806,-0.49723905,-0.6167307,-0.3844127,0.9623286,1.3503027,-0.7229798,-0.6935445,-0.40158433,0.48270726,-0.79671943,-0.5035238,0.9321088,0.5454881,0.7613447,-0.4546255,-0.47104776,-0.64083993,0.98725325,-0.43512672,-0.44174188,-0.6005616,1.0636532,-0.37547064,0.90719616,-0.41015798,-0.50252604,0.5566472,0.037102763,-0.646256,-0.8253571,-0.42754954,-0.5704789,0.26898953,0.89015824,-0.6352936,-0.6842617,-0.23695737,0.9412239,1.073107,1.4925756,-0.29325867,0.36427605
6,0.20567906,-0.54340714,-0.8541527,2.0668163,-0.27418578,-0.0038518906,-0.118172884,-0.5164897,0.8373116,1.0961307,-0.3237391,-0.6233343,0.96545625,1.2789866,0.52067965,0.43176344,-0.24477232,-0.7930398,0.544351,-0.021238089,0.94241804,0.31028828,0.43331957,-0.48833966,0.5504994,-0.7565008,1.416609,-0.68387663,-0.6567953,0.39783528,2.4554899,-0.36114943,-0.44965798,0.5713442,0.38547227,0.40742967,0.19955252,-0.77851725,-0.7454847,0.46439615,-0.81894827,0.020919055,-0.062471926,0.009673285,-0.28406906,0.870473,-0.38831002,-0.8532166,1.8499415,-0.92808926,-0.51081145,-0.27534974,-0.30595368,-0.64051676,1.5961497,0.79029423,-0.7800635,-0.5633985,-0.27101666,0.6210091,1.1579033,0.84393734,-0.13029546,0.8393939
7,-0.3295048,0.051346507,1.3104669,-0.5818582,-0.15105355,-0.2617172,0.19486853,-0.17095476,-0.1004442,-0.42760015,-0.31789964,0.05636097,-0.5473341,-0.659104,-0.07407004,-0.091983974,0.0024049457,-0.28432673,-0.111727595,-0.568929,-0.04777974,0.44355726,0.029892715,0.12911911,-0.64977217,1.5539935,0.2915123,0.49425986,0.6927526,-0.24789011,-0.8222413,-0.45438635,-0.14535922,-0.419622,1.3513064,-0.19579297,0.41682437,0.7188129,0.95836973,-0.44284266,0.6635317,0.35262582,0.0124911675,0.46504012,0.07636385,-0.10638839,-0.110918164,1.5258725,-0.27115119,1.4518938,0.72490007,0.35133195,0.8469349,0.547491,-0.3534807,0.79781544,1.184959,1.2022817,0.28938273,-0.41740555,-0.44171602,-0.23223013,0.05406823,-0.71698034
8,-0.041658282,2.239556,0.56451523,-0.8780538,1.2626193,1.3291922,-0.25234067,-0.18094862,-0.008834243,-0.32832706,2.7779608,-0.015051007,-0.7505846,-0.7144656,-0.4318592,1.6699995,-0.08707166,0.42508426,-0.7825004,0.9645902,0.7910497,-0.65485364,-0.35364372,1.3235548,1.8077688,-0.08536929,-0.7094929,-0.005531311,2.4638839,1.0237988,-0.13390946,0.16070686,1.1242892,-0.73330355,0.2377258,-0.50919765,1.2268214,-0.12660223,0.17763734,0.05056804,0.39176276,0.067262985,-0.60191405,-0.87441975,0.85257554,0.5252925,1.9503596,2.0528414,0.06940947,0.9165261,0.76477605,-0.7388399,0.16268957,-0.56041265,1.027058,-0.58853155,1.6281368,-0.8169774,2.721583,1.1399559,-0.4139161,-0.8250271,2.7087507,-0.7483523
9,0.32309762,-0.6698716,-0.42395163,-0.03679961,-0.5881889,-0.07115096,-0.12395865,1.8090103,0.17321159,0.8558946,-0.3126405,0.84750766,1.226128,0.4705199,0.047878996,1.3034894,-0.6072056,0.12483296,1.6817122,0.28699452,0.33036268,-0.58935994,-0.28551823,-0.2003541,-0.54055345,0.42632273,-0.6670257,-0.4623034,-0.006911814,-0.53015643,-0.40510726,0.48041004,0.08028981,-0.36276633,-0.4044035,0.7214493,-0.4077103,-0.4986992,-0.52151704,0.8176992,-0.33347255,-0.6352937,-0.023815572,-0.027159572,1.0865303,0.55469435,-0.51031697,-0.65660715,-0.31834817,-0.5074181,-0.43728513,-0.54128826,0.63157725,-0.5679506,-0.36695027,1.434189,-0.37658638,-0.73112214,0.27538797,-0.66506803,0.20526293,-0.39863873,0.42205164,0.9867923
